,Unnamed: 0_level_0,Unnamed: 1_level_0,stick_right,stick_right,stick_right,stick_right,stick_right,stick_right,stick_right,stick_right:Marker1,stick_right:Marker1,stick_right:Marker1,stick_right:Marker2,stick_right:Marker2,stick_right:Marker2,stick_right:Marker3,stick_right:Marker3,stick_right:Marker3,stick_right:Marker4,stick_right:Marker4,stick_right:Marker4,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red:Marker1,diabolo_red:Marker1,diabolo_red:Marker1,diabolo_red:Marker2,diabolo_red:Marker2,diabolo_red:Marker2,diabolo_red:Marker3,diabolo_red:Marker3,diabolo_red:Marker3,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left:Marker1,stick_left:Marker1,stick_left:Marker1,stick_left:Marker2,stick_left:Marker2,stick_left:Marker2,stick_left:Marker3,stick_left:Marker3,stick_left:Marker3,stick_left:Marker4,stick_left:Marker4,stick_left:Marker4,rot_velocity
,Unnamed: 0_level_1,Unnamed: 1_level_1,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,
,Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,
0,4092,34.1,-0.0805946129511,0.23193384185,0.153350240491,0.957180706611,0.204827813212,-0.345539915157,1.14837573011,0.182859,0.009604,0.878486,0.212854,0.0216,0.891544,0.154428,0.024669,0.928747,0.126528,-0.005137,0.869786,-0.0598786301148,0.712332166625,-0.696892766014,0.0577746200715,0.152183049051,-0.454437011168,0.766788152475,0.288554,0.124992,0.448475,0.249825,0.117143,0.418992,0.197256,0.108291,0.488246,0.790027108506,0.213709599434,0.226578236338,0.528060297459,0.0689446447302,0.378071340691,1.39677762973,-0.550082,-0.132294,1.142648,-0.575329,-0.146396,1.068682,-0.526275,-0.123877,1.085721,-0.492655,-0.106999,1.119612,85.282410602
1,4093,34.108333,-0.0775908204185,0.232037070266,0.154211490417,0.957265521594,0.206304454605,-0.346004058502,1.14980326183,0.183528,0.011125,0.879801,0.213599,0.023143,0.892659,0.155403,0.026245,0.930216,0.127148,-0.003639,0.871464,0.0348435099925,-0.425474198152,0.901222788078,-0.0745326959595,0.153853933384,-0.441124988214,0.755573979909,0.276194,0.126747,0.471617,0.265845,0.123755,0.423505,0.181439,0.109619,0.441218,0.796119814292,0.208607710149,0.221302391862,0.523164712031,0.0716672524895,0.372892370482,1.39587049708,-0.545667,-0.129599,1.142137,-0.572162,-0.143913,1.06865,-0.52256,-0.121957,1.084814,-0.488227,-0.105293,1.11809,85.47043864
2,4094,34.116667,-0.0738445880315,0.233202442198,0.153838884793,0.957338600129,0.207626691188,-0.347269112533,1.15098920886,0.18474,0.012446,0.881051,0.214928,0.024427,0.893669,0.156991,0.027807,0.931602,0.128266,-0.002194,0.873138,0.00600013764179,-0.0846251494176,0.992996153732,-0.0822266447544,0.155352214111,-0.426817584561,0.744971001661,0.240397,0.124604,0.487637,0.26362,0.12726,0.444226,0.188307,0.114707,0.401702,0.801717331378,0.203137550678,0.215899408498,0.519010502287,0.0745414463688,0.367534599663,1.39501920778,-0.541228,-0.126792,1.141666,-0.568862,-0.141224,1.068623,-0.518739,-0.119896,1.084003,-0.483744,-0.103514,1.116724,85.5760728425
3,4095,34.125,-0.070132996863,0.234382646937,0.153097157948,0.957448378657,0.208839708683,-0.349031217684,1.15204672268,0.186375,0.013631,0.882177,0.216684,0.025551,0.894563,0.159003,0.029249,0.932855,0.129804,-0.000844,0.874674,-0.0251084656182,0.267125377826,0.959793922382,-0.0825180224797,0.156812372342,-0.411751186007,0.734440514779,0.191465,0.120235,0.483089,0.23704,0.126954,0.465525,0.207516,0.122054,0.383414,0.80655513155,0.1974617256,0.210360769831,0.515970961596,0.0774984942354,0.362020527405,1.3941790331,-0.536813,-0.123939,1.141206,-0.565406,-0.138394,1.068538,-0.514806,-0.117753,1.083277,-0.479231,-0.101712,1.11554,85.7124738889
4,4096,34.133333,-0.0677330506192,0.236502466623,0.152066139827,0.957264177881,0.209833089031,-0.351266189478,1.15274061164,0.188396,0.014644,0.883194,0.218786,0.02652,0.895419,0.16125,0.030592,0.933891,0.13175,0.000322,0.875953,-0.0520072598302,0.585833313673,0.805952088631,-0.0673483804404,0.158351477269,-0.395028717991,0.723680414532,0.145842,0.116875,0.454605,0.191702,0.123375,0.471498,0.222373,0.128964,0.389853,0.811232864946,0.192890871004,0.204659951345,0.512648666272,0.0804037686039,0.356642359952,1.39325720958,-0.532358,-0.121006,1.140827,-0.561866,-0.135626,1.068558,-0.510845,-0.115569,1.082639,-0.474736,-0.099772,1.114424,85.7694248464
5,4097,34.141667,-0.067121377242,0.23855086247,0.151694142861,0.956857927675,0.210635134834,-0.353654051163,1.15327732032,0.190683,0.015533,0.884123,0.221091,0.027426,0.896288,0.163573,0.031729,0.93476,0.13402,0.001247,0.876961,-0.073545264443,0.830642470497,0.550125323221,-0.0445680270525,0.160032262495,-0.378187970653,0.71228482944,0.118408,0.116813,0.41058,0.142217,0.119347,0.453679,0.218104,0.13273,0.412448,0.814886245077,0.187593336961,0.199372323557,0.510900992475,0.0834601056692,0.351040289393,1.39242324608,-0.527929,-0.118044,1.140373,-0.558135,-0.132609,1.068383,-0.50673,-0.113231,1.082015,-0.47018,-0.0978,1.113474,85.8396881449
6,4098,34.15,-0.0685200352627,0.240710370518,0.152421758489,0.956102049904,0.211178304825,-0.356059881978,1.15360375684,0.193183,0.01628,0.884959,0.22353,0.028285,0.897168,0.165884,0.032632,0.935445,0.13657,0.001851,0.877683,-0.0831824885389,0.970784161115,0.224278150198,-0.0189234635588,0.161679215426,-0.361403422085,0.701159835413,0.114967,0.12083,0.367316,0.105101,0.117797,0.415527,0.18909,0.132181,0.434939,0.818121466983,0.182496399126,0.193618476633,0.509788402256,0.0866053166352,0.345327010979,1.39141139058,-0.523493,-0.114952,1.139846,-0.554275,-0.129482,1.068093,-0.502519,-0.110797,1.081355,-0.465584,-0.095731,1.112541,86.083942114
7,4099,34.158333,-0.072370225721,0.242949761731,0.154342957283,0.95494304293,0.211462820924,-0.358398238294,1.15374873071,0.195819,0.016897,0.885748,0.226008,0.029119,0.89813,0.168062,0.033293,0.935969,0.139341,0.002123,0.878117,-0.0847082504847,0.987719237511,-0.130806860292,0.0111707408511,0.163654444904,-0.345191696099,0.690052873794,0.129364,0.12806,0.341042,0.090748,0.120088,0.370642,0.14146,0.128763,0.441288,0.821179043354,0.17741797091,0.187977899399,0.508775148462,0.0897705034446,0.339595285358,1.39040249982,-0.519035,-0.111828,1.139307,-0.550367,-0.126301,1.06778,-0.498279,-0.10831,1.080697,-0.460978,-0.093619,1.111626,86.2157351625
8,4100,34.166667,-0.0782420795904,0.244313193386,0.158124647063,0.953512368305,0.211533120801,-0.360398576411,1.15395615203,0.19847,0.017423,0.886525,0.228407,0.02998,0.899182,0.170044,0.033631,0.936432,0.142228,0.002051,0.878361,-0.0768447088442,0.878558601599,-0.469739474045,0.0396799798699,0.165829159563,-0.329527272087,0.680018037522,0.146483,0.135864,0.339914,0.09829,0.126122,0.336261,0.090616,0.124904,0.42331,0.82406777315,0.171879247346,0.182681008877,0.507934521945,0.092999389588,0.333767059393,1.38945703218,-0.514529,-0.108682,1.138724,-0.546403,-0.122993,1.067405,-0.493989,-0.105739,1.080006,-0.45633,-0.091481,1.110701,86.2543644448
9,4101,34.175,-0.0855146606234,0.245243001963,0.163413781665,0.951755771597,0.211397616025,-0.36204377281,1.15419778363,0.201044,0.017867,0.887332,0.230649,0.030857,0.900328,0.171803,0.033727,0.936878,0.145123,0.001697,0.878522,0.0605645415316,-0.656997404257,0.748844332704,-0.062598023025,0.168260718225,-0.313812085461,0.671662451089,0.149585,0.141641,0.359986,0.115799,0.134089,0.324883,0.053517,0.123553,0.385281,0.826722550588,0.16664304017,0.177320345656,0.507264641512,0.0962733125422,0.327926865681,1.38839846438,-0.509997,-0.10545,1.138073,-0.542357,-0.119622,1.066945,-0.489646,-0.103085,1.079264,-0.45166,-0.08924,1.109746,86.4135873248
10,4102,34.183333,-0.0931117982989,0.245559740602,0.170730183684,0.949674581734,0.2110030378,-0.363128001252,1.15457353562,0.203453,0.01821,0.888194,0.232667,0.031744,0.901518,0.173368,0.033548,0.937398,0.147941,0.001019,0.878758,0.0322091898444,-0.351244804494,0.932388116727,-0.0790066781476,0.170431720136,-0.297305020432,0.664133900517,0.128788,0.14311,0.387097,0.126246,0.141141,0.337899,0.040214,0.126227,0.341647,0.82959295968,0.161875073846,0.172285096461,0.505855539906,0.09949430387,0.322249336919,1.38731058986,-0.505425,-0.102213,1.1374,-0.538348,-0.1163,1.066514,-0.485355,-0.100414,1.078474,-0.447027,-0.086931,1.108688,86.5632387974
11,4103,34.191667,-0.100348328345,0.244920518687,0.179621343992,0.947459933352,0.210398560749,-0.363693467506,1.1551568466,0.205664,0.018451,0.889084,0.234454,0.03259,0.902698,0.174789,0.033093,0.93801,0.150624,9E-05,0.879102,-1.50060020672E-05,0.00019991903314,0.996263900573,-0.0863608720597,0.172541281973,-0.280194932054,0.65754409334,0.085762,0.14068,0.403661,0.115892,0.14464,0.364836,0.048881,0.132841,0.309989,0.83242426662,0.156556228224,0.167465468748,0.504495098613,0.102801054127,0.316487491731,1.38622432308,-0.500832,-0.098934,1.136636,-0.534335,-0.112836,1.065985,-0.481058,-0.097654,1.077596,-0.44238,-0.084594,1.107549,86.7980315505
12,4104,34.2,-0.106971111209,0.243893850714,0.189489056316,0.945075059711,0.209509606033,-0.363883695806,1.15586428574,0.207693,0.018509,0.89002,0.236042,0.033289,0.903874,0.176108,0.032375,0.938718,0.153169,-0.0011,0.879587,-0.0288224590283,0.35283671393,0.931832879812,-0.0797684352366,0.174603866871,-0.261778798625,0.651904196814,0.033207,0.136955,0.397693,0.081187,0.143856,0.388688,0.066748,0.141062,0.30254,0.835433004268,0.151734468198,0.162990190941,0.502456509758,0.106041885803,0.310954700877,1.38504322922,-0.496266,-0.095673,1.135784,-0.530414,-0.109441,1.065417,-0.476871,-0.094894,1.076611,-0.43783,-0.082206,1.10625,86.867689427
13,4105,34.208333,-0.112743248083,0.242447869771,0.199971250192,0.942613117643,0.208431280973,-0.363879679678,1.15673994375,0.209652,0.018449,0.891021,0.23756,0.03388,0.90506,0.177465,0.031482,0.939555,0.155673,-0.002439,0.880245,-0.0562202298852,0.659837082363,0.74680742475,-0.0610981245967,0.176821170459,-0.242662557051,0.645721874735,-0.011313,0.134778,0.368707,0.030603,0.140422,0.394045,0.075981,0.148193,0.31976,0.838862658941,0.147090225009,0.157276804863,0.499937907938,0.109288394378,0.305382261635,1.38351888874,-0.491708,-0.092277,1.134842,-0.526567,-0.106046,1.064824,-0.472748,-0.092161,1.075522,-0.433316,-0.079813,1.104786,86.8782731049
14,4106,34.216667,-0.117451180937,0.24118500763,0.210206649662,0.940131999577,0.207185755457,-0.364019671547,1.15767857771,0.2117,0.018246,0.892078,0.239192,0.0343,0.906239,0.179032,0.030502,0.940493,0.158255,-0.003862,0.881072,-0.0756072824578,0.881430565565,0.464628329229,-0.0385254799521,0.179104734848,-0.224022579526,0.639729887338,-0.034255,0.136266,0.328031,-0.019351,0.137408,0.375014,0.063145,0.151528,0.349856,0.842450915874,0.142159517353,0.152724395433,0.496731703246,0.112549886945,0.299981079984,1.38215391339,-0.487142,-0.088939,1.133841,-0.522818,-0.102588,1.064212,-0.468729,-0.089349,1.07435,-0.428873,-0.077371,1.103192,86.8782731049
15,4107,34.225,-0.120765321208,0.239843486079,0.219485180092,0.937932351025,0.205848649926,-0.364608356546,1.1586904932,0.214024,0.017871,0.893112,0.241161,0.034468,0.907331,0.181032,0.029427,0.941479,0.161058,-0.00531,0.882001,,,,,,,,,,,,,,,,,0.846220202466,0.136980735619,0.148123325088,0.493160346715,0.115846568825,0.294587821538,1.38073835121,-0.482575,-0.085561,1.132785,-0.519128,-0.099061,1.063584,-0.464769,-0.086495,1.073116,-0.42447,-0.074913,1.101499,86.8782731049
16,4108,34.233333,-0.122832925356,0.239499879973,0.226444568303,0.936095474526,0.204523031921,-0.366166595256,1.1595347541,0.216862,0.017327,0.894087,0.243736,0.034343,0.908311,0.18366,0.028438,0.942415,0.164257,-0.006652,0.882956,,,,,,,,,,,,,,,,,0.849931006231,0.132568374494,0.143135377846,0.489443739709,0.119120564141,0.289326254082,1.37907592392,-0.478042,-0.082106,1.131637,-0.515444,-0.095579,1.062885,-0.460842,-0.083626,1.071802,-0.420125,-0.072367,1.099714,86.8782731049
17,4109,34.241667,-0.123358318854,0.24012003826,0.231602936712,0.93460428637,0.203214960101,-0.368675548521,1.16025784614,0.220307,0.016654,0.895019,0.247013,0.03399,0.909171,0.18703,0.027558,0.943343,0.167946,-0.007906,0.884002,-0.0719837355054,0.818887213987,-0.567262050911,0.0495564141978,0.18633524237,-0.171812916664,0.624450134761,-0.00316,0.157934,0.292081,-0.049242,0.148475,0.277324,-0.076211,0.143656,0.360314,0.853178849049,0.128127052205,0.138686278639,0.486246260804,0.122401559821,0.284072737778,1.37742703155,-0.473528,-0.07869,1.130398,-0.511686,-0.092059,1.062042,-0.456871,-0.08071,1.070425,-0.41578,-0.069798,1.097925,87.4483772954
