,Unnamed: 0_level_0,Unnamed: 1_level_0,stick_right,stick_right,stick_right,stick_right,stick_right,stick_right,stick_right,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,rot_velocity
,Unnamed: 0_level_1,Unnamed: 1_level_1,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,
,Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,
0,21120,176,0.839049726175,0.0199976953434,-0.023183212741,0.543192588162,0.63999142687,-0.051864831753,1.02530054638,0.0472366227334,0.990324917594,-0.126444445507,0.0322034356118,0.672178719045,-0.00296591546871,0.306633674331,0.584978316855,0.0883982759287,-0.0304381284146,0.805642373489,0.658916810206,0.0302807732822,1.01308739299,127.261942839
1,21121,176.008333,0.839270236986,0.0192637157471,-0.023062294501,0.542883513415,0.639888602801,-0.0515722711861,1.02553960474,0.0578654581035,0.790564535077,-0.609636038716,-0.00179023361554,0.672326228215,-0.00198671991349,0.307623507108,0.583902027855,0.0882271451332,-0.0296079811257,0.806472417497,0.658943497091,0.0306762603693,1.01360779974,126.905923518
2,21122,176.016667,0.839700789886,0.0181203221191,-0.022157902674,0.542294444689,0.639823901275,-0.0512821626352,1.02607869313,-0.0550577528601,-0.374935419353,0.924759914245,0.034801956407,0.673351650281,-0.00086511068249,0.307556540559,0.583054881587,0.0878665157535,-0.0291250254895,0.807142003217,0.658928082716,0.0310359372921,1.01413675794,126.801258618
3,21123,176.025,0.840175796099,0.0181995144203,-0.0212082537885,0.541593592369,0.639835078785,-0.0507579337865,1.02660005241,-0.0282106841708,0.142233755472,0.987699126763,0.0585162464138,0.673990807154,-0.000687967861144,0.307995006336,0.581858023227,0.0874280443469,-0.0286682130826,0.808069125401,0.658857515242,0.0313164124039,1.01470727894,127.161107777
4,21124,176.033333,0.840509608715,0.0182306283814,-0.0198018197655,0.541127646477,0.639853710756,-0.0501688710028,1.02727837833,0.00372882805867,0.622186183863,0.780703038584,0.058079376692,0.673859185488,-0.00163936518745,0.308675941108,0.580428125515,0.0871134688342,-0.0281287189641,0.809149683204,0.658802869385,0.0315165476809,1.01529787175,126.631274663
5,21125,176.041667,0.840725677291,0.0177554461244,-0.0182292075304,0.540862991588,0.63986096782,-0.0496123280495,1.02804326309,0.0305542769119,0.930458485829,0.360898277974,0.0553703464607,0.67472230682,-0.00161220701261,0.308615535357,0.579201875898,0.0868673766835,-0.0275446425395,0.810074403059,0.658742086988,0.0317227158934,1.01586812193,126.285317569
6,21126,176.05,0.841028183928,0.0185488167258,-0.018582757836,0.540353788132,0.639868568539,-0.0490872588998,1.02830108102,0.0445002237434,0.986211615882,-0.155631915949,0.0344250711521,0.675361448129,-0.00265966654906,0.309650538414,0.578549714504,0.0863610569652,-0.0265659969884,0.810627068072,0.658710162022,0.0320096236904,1.01646861557,126.601769211
7,21127,176.058333,0.841434068611,0.019340776092,-0.0191597568364,0.53967355529,0.639925852541,-0.048646747743,1.02851513015,0.0536204280616,0.774274914489,-0.630571493087,-0.00167289966711,0.675458078598,-0.00149917661932,0.311609207865,0.577890027254,0.0853817206407,-0.0253462399076,0.811240190267,0.658701562039,0.0322275084713,1.01724995748,126.214789414
8,21128,176.066667,0.841726112419,0.0187241951787,-0.017985268292,0.539280155681,0.640013635302,-0.04826966211,1.02915874052,-0.0511500763618,-0.353123188415,0.93353398252,0.0346696837671,0.676317428073,5.20720548777E-06,0.311842584821,0.576912813435,0.0838359864912,-0.0242572959007,0.812129741273,0.658708592913,0.0322257041128,1.01815653977,125.802459855
9,21129,176.075,0.841862201559,0.0181832500091,-0.0161552678576,0.539144146148,0.64012387683,-0.0477991605744,1.02986726124,-0.0278960589557,0.161471533574,0.984763427503,0.0582215217381,0.676968171349,0.000416939623839,0.312005098956,0.576041076467,0.0825016941082,-0.02285652248,0.812925413597,0.658783749475,0.0322378307797,1.01897466761,126.330950601
