,Unnamed: 0_level_0,Unnamed: 1_level_0,stick_right,stick_right,stick_right,stick_right,stick_right,stick_right,stick_right,stick_right:Marker1,stick_right:Marker1,stick_right:Marker1,stick_right:Marker2,stick_right:Marker2,stick_right:Marker2,stick_right:Marker3,stick_right:Marker3,stick_right:Marker3,stick_right:Marker4,stick_right:Marker4,stick_right:Marker4,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red:Marker1,diabolo_red:Marker1,diabolo_red:Marker1,diabolo_red:Marker2,diabolo_red:Marker2,diabolo_red:Marker2,diabolo_red:Marker3,diabolo_red:Marker3,diabolo_red:Marker3,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left:Marker1,stick_left:Marker1,stick_left:Marker1,stick_left:Marker2,stick_left:Marker2,stick_left:Marker2,stick_left:Marker3,stick_left:Marker3,stick_left:Marker3,stick_left:Marker4,stick_left:Marker4,stick_left:Marker4,rot_velocity
,Unnamed: 0_level_1,Unnamed: 1_level_1,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,
,Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,
0,73578,613.15,0.7426458367526558,0.17206874793581095,0.12638753662458144,0.6347406539081297,0.14728777409860405,-0.21087835039318253,1.3297770012031982,0.033741,-0.05684500000000001,1.0305389999999999,0.039545,-0.059377,0.996276,0.088776,-0.035269999999999996,1.038729,0.038109,-0.046239999999999996,1.088285,-0.204515,-0.162139,-0.692244,-0.672817,-0.054047000000000005,0.14123,0.373179,-0.095312,0.13986600000000002,0.389072,-0.048998,0.13913599999999998,0.405962,-0.017830000000000002,0.144688,0.324502,0.4660315072376941,0.06168658868038191,0.03828912962761645,0.8817841808464815,0.15752998143491626,-0.0790416231145267,1.4329820316232456,-0.17760499999999999,-0.041413,1.144728,-0.133672,-0.047385000000000004,1.0788389999999999,-0.116972,-0.049263999999999995,1.132888,-0.123234,-0.04767,1.183107,62.392683139789966
1,73579,613.158333,0.7557663447948397,0.16955077344652858,0.13876829351505893,0.6171005817644722,0.14613394717852177,-0.20580632737321422,1.3425423567051387,0.029887999999999998,-0.057714,1.040914,0.034076999999999996,-0.059766,1.006384,0.084997,-0.035568,1.04674,0.03689,-0.047744,1.098514,-0.028038999999999998,0.024648,-0.713596,-0.699562,-0.06592,0.140761,0.373867,-0.109653,0.140523,0.367182,-0.077847,0.138201,0.404783,-0.01026,0.143558,0.349636,0.47206651847948294,0.07717715492507245,0.01961089573220908,0.8779591685590576,0.15552538482222694,-0.08285475891360759,1.4207870438002075,-0.175499,-0.041675,1.13763,-0.132422,-0.051484,1.0716350000000001,-0.115158,-0.05122,1.125538,-0.12082899999999999,-0.04722,1.175694,128.36437352255106
2,73580,613.166667,0.7593558114027974,0.16787497291713,0.15240700794262485,0.6098924897773778,0.14493181480533213,-0.20078250195164207,1.3549469024836176,0.026369,-0.058486,1.0508170000000001,0.029876999999999997,-0.059814,1.016176,0.08125,-0.035616,1.0559530000000001,0.034404000000000004,-0.049512,1.1084459999999998,0.328022,0.389575,-0.607338,-0.6097319999999999,-0.075786,0.140901,0.362568,-0.09096900000000001,0.14358800000000002,0.321101,-0.10869300000000001,0.139191,0.366897,-0.027694,0.139926,0.399706,0.46654122746435744,0.08849935419619999,0.0029846974125469048,0.8800558158232136,0.15362620541318364,-0.0866564081887882,1.410968942542855,-0.173672,-0.041887,1.1303159999999999,-0.12983499999999998,-0.054762,1.0653569999999999,-0.113346,-0.052904,1.119472,-0.11966500000000001,-0.047045,1.169366,128.66491365683396
3,73581,613.175,0.7562907700331759,0.163681733407429,0.1668106799314544,0.611070174670775,0.14398662604003953,-0.1968270964998823,1.3673544453433835,0.023636,-0.058962,1.060287,0.027132999999999997,-0.05926699999999999,1.025621,0.07824600000000001,-0.035595999999999996,1.0660459999999998,0.031606999999999996,-0.051528,1.118144,0.592499,0.646522,-0.331567,-0.34787399999999996,-0.070266,0.141648,0.350515,-0.041067,0.145295,0.317479,-0.089871,0.142066,0.323682,-0.079859,0.13758199999999998,0.41038500000000006,0.45464440504684656,0.09628818708985133,-0.00950281222498392,0.8854020253796382,0.15228896887737334,-0.0898250851629617,1.4032827566484816,-0.172256,-0.041972,1.123215,-0.12678599999999998,-0.056973,1.059854,-0.11179800000000001,-0.053992,1.1143530000000001,-0.11943599999999999,-0.046834,1.163893,128.78397202130336
4,73582,613.1833330000001,0.7513790053534992,0.15865133458447966,0.18052637720084241,0.6145482661950068,0.14308963382455,-0.19356917452473646,1.3795483153891968,0.021407,-0.05934299999999999,1.069572,0.025079,-0.058585000000000005,1.034931,0.07576000000000001,-0.035639,1.076307,0.029019,-0.053555,1.127665,0.690354,0.7224,0.037474,0.012087,-0.055607000000000004,0.142038,0.35225,-0.01254,0.14382799999999998,0.362219,-0.041405000000000004,0.143715,0.32224899999999995,-0.112875,0.138571,0.372283,0.44209234318083185,0.09992620700670911,-0.0178678808979283,0.8912069636657646,0.15159206850250795,-0.09226908446198986,1.3971268132760009,-0.171226,-0.041846,1.116471,-0.12407699999999999,-0.058088,1.054662,-0.110648,-0.054514,1.10953,-0.119653,-0.046631,1.1587290000000001,129.05877805128515
5,73583,613.1916669999999,0.7487289302199345,0.15107062206951247,0.194264971693368,0.6155028651210473,0.14224718618896484,-0.19104749454190298,1.3924358142626858,0.019469,-0.05965499999999999,1.079202,0.02305,-0.057794000000000005,1.044593,0.073696,-0.035845,1.0865479999999998,0.027192,-0.055637,1.137429,0.59373,0.594684,0.398808,0.367134,-0.047692,0.141217,0.369017,-0.035904000000000005,0.140067,0.41164399999999995,-0.014515,0.14211,0.367269,-0.092658,0.141475,0.328139,0.4324192328737755,0.09904659144531583,-0.02193657882966767,0.8959476358990909,0.15156625985299657,-0.09375546173340123,1.3923176505906698,-0.170709,-0.041466,1.11037,-0.12229300000000001,-0.058078,1.049648,-0.11006800000000001,-0.054501999999999995,1.104798,-0.120119,-0.046493,1.153773,129.34414720245485
6,73584,613.2,0.7490058738646829,0.14040315761334998,0.20753306379375389,0.613357303438038,0.1416598273139916,-0.18952806083763876,1.4060878507036312,0.017887,-0.059726,1.089244,0.021059,-0.056746000000000005,1.054673,0.072174,-0.036095,1.096719,0.026288,-0.057576999999999996,1.147476,0.329531,0.297697,0.64591,0.6209560000000001,-0.055336,0.139853,0.387357,-0.087299,0.13789400000000002,0.417882,-0.038047000000000004,0.13845,0.415707,-0.040661,0.143216,0.32848099999999997,0.4266620272546148,0.09604140023269081,-0.02288622663268587,0.8990059980727846,0.15200184203881364,-0.09407344307715432,1.3877828741202145,-0.170903,-0.04092,1.104519,-0.121735,-0.057383,1.044363,-0.110233,-0.054113999999999995,1.099687,-0.12090999999999999,-0.046314,1.148564,129.36942037262577
7,73585,613.208333,0.7510978961404934,0.12808318069276173,0.22119357264615347,0.6087035835749459,0.141036703436383,-0.18845753198298773,1.4203884395676774,0.016433,-0.05973099999999999,1.099646,0.018968000000000002,-0.055599,1.065142,0.070864,-0.036366,1.106902,0.025910000000000002,-0.059529,1.157753,-0.02822,-0.083715,0.710253,0.698381,-0.070936,0.13906500000000002,0.392938,-0.113005,0.13927799999999999,0.379245,-0.087744,0.136462,0.42149200000000003,-0.01206,0.141456,0.378077,0.42520512636462254,0.09198537789236656,-0.021236532891383712,0.9001601526606237,0.15267624455145024,-0.093182176815357,1.3830117580828232,-0.17186500000000002,-0.040379000000000005,1.098698,-0.122491,-0.056317,1.038571,-0.11118099999999999,-0.05354,1.093961,-0.122026,-0.046171,1.142867,129.57684612161378
8,73586,613.216667,0.7548101375459012,0.11386608365737647,0.23561782017008553,0.6014818484948373,0.1402222655835104,-0.18779864883237157,1.435510635804677,0.015038,-0.059777,1.110506,0.016707,-0.054425,1.076117,0.06968300000000001,-0.036744,1.117202,0.025983,-0.061647,1.168324,-0.378977,-0.441399,0.572896,0.5773510000000001,-0.078462,0.139151,0.385494,-0.086253,0.142206,0.34205100000000005,-0.11163599999999999,0.137708,0.38407800000000003,-0.037498000000000004,0.137537,0.43035200000000007,0.42889777419984415,0.08718132343656924,-0.018482358544159534,0.8989463379718019,0.15335365875844995,-0.09142043107123353,1.3777945028055927,-0.173491,-0.039879000000000005,1.092981,-0.124596,-0.055151,1.032291,-0.112845,-0.052976999999999996,1.087616,-0.123301,-0.046145,1.136685,129.7283637799245
9,73587,613.225,0.7599322899673486,0.09842568728221282,0.2500554807642768,0.5918509569881192,0.1393093450729553,-0.18771169608177918,1.4509243738534219,0.013845,-0.059785000000000005,1.121524,0.014457,-0.053209000000000006,1.087312,0.068744,-0.037117000000000004,1.127324,0.026583,-0.063746,1.178867,-0.6214569999999999,-0.674319,0.272556,0.29120300000000005,-0.070311,0.139706,0.379025,-0.035588,0.143322,0.35184899999999997,-0.084731,0.14047300000000001,0.349091,-0.090613,0.135324,0.43613500000000005,0.43785320873669814,0.08315433601900822,-0.014957428441045504,0.895067706564507,0.15391756372149737,-0.08888846299547509,1.3718208815086392,-0.17560699999999999,-0.039544,1.0873700000000002,-0.127913,-0.054151,1.025571,-0.115066,-0.052511,1.08067,-0.12455,-0.046178,1.130002,129.7283637799245
10,73588,613.233333,0.7658678011185323,0.08157817447056558,0.26543011763895435,0.5799468642126498,0.13799417069798028,-0.18822664359961086,1.4668393570755571,0.01294,-0.05996,1.1327639999999999,0.012324,-0.052088999999999996,1.098827,0.068089,-0.037634,1.137406,0.027750999999999998,-0.066123,1.189411,,,,,,,,,,,,,,,,,0.45121878600974624,0.0797842381731519,-0.010137078474637696,0.8887819317082338,0.15436128512299804,-0.08566189499749712,1.3654665897058071,-0.178043,-0.039465,1.082047,-0.132189,-0.053316999999999996,1.018701,-0.117691,-0.052160000000000005,1.073402,-0.125704,-0.046332,1.123057,129.7283637799245
11,73589,613.241667,0.7711810008329338,0.06338290906659241,0.28137819897988603,0.5675286600088195,0.1363240957542768,-0.1893281240379014,1.4827240055495967,0.012319,-0.06023200000000001,1.143797,0.010471,-0.050983,1.110254,0.067701,-0.038273,1.14727,0.029207999999999998,-0.068741,1.199551,,,,,,,,,,,,,,,,,0.4681859521497071,0.07626499304366557,-0.005523917534255432,0.8803153136125695,0.15462127984237417,-0.08231749479687911,1.3590208322719604,-0.180519,-0.039504000000000004,1.077151,-0.13710799999999998,-0.052654999999999993,1.011961,-0.120519,-0.051976999999999995,1.066073,-0.126627,-0.046632,1.1160510000000001,129.7283637799245
12,73590,613.25,0.7751940666179218,0.04676662669364511,0.29731081414975796,0.5554217510123947,0.1343352497623696,-0.19038185900301838,1.4976565651380513,0.011828,-0.060614,1.1541629999999998,0.008839,-0.050041,1.121098,0.067339,-0.038841,1.156585,0.030618,-0.071336,1.208919,0.08534,0.034960000000000005,0.712206,0.695886,-0.063826,0.137261,0.423892,-0.10805799999999999,0.13659100000000002,0.42449499999999996,-0.07048,0.134759,0.456358,-0.01294,0.140432,0.390823,0.48666925302453334,0.07410481844925146,-0.0011716763756717305,0.8704367531404088,0.15480197929921038,-0.07889725854194538,1.3524803143971476,-0.182871,-0.039617,1.072635,-0.142232,-0.05222,1.005576,-0.12336400000000002,-0.051847000000000004,1.0589389999999999,-0.127359,-0.046846,1.109166,64.18309401930853
13,73591,613.258333,0.7776538816601052,0.030231661638178472,0.31188872667780326,0.545037530033359,0.13244152554534513,-0.19176380982582486,1.511440293611984,0.011511,-0.060822,1.1637,0.007576,-0.048973,1.131171,0.06715700000000001,-0.03932,1.1652870000000002,0.031888,-0.07370299999999999,1.2174129999999999,-0.098149,-0.15798099999999998,0.699293,0.6902159999999999,-0.075017,0.136729,0.426457,-0.113403,0.13756,0.404477,-0.097322,0.134101,0.450955,-0.014325,0.138525,0.423939,0.5047963546127293,0.07283481168041238,0.003235719955046021,0.8601542075079043,0.1549444711826509,-0.07557091198345647,1.346290297694475,-0.18495,-0.039809,1.068551,-0.14713199999999999,-0.051925,0.999775,-0.126029,-0.051743,1.052295,-0.127919,-0.047006,1.102671,129.94342495636133
14,73592,613.266667,0.7782540029221156,0.01458973906662544,0.3260067401005264,0.5364955282746537,0.13040769011362402,-0.19314909272516206,1.5240618145194207,0.011337999999999999,-0.061028,1.1723350000000001,0.006657,-0.047934,1.140387,0.067095,-0.03978,1.173369,0.032971,-0.076014,1.225001,-0.436906,-0.49901899999999993,0.524767,0.5335850000000001,-0.07952999999999999,0.137025,0.416637,-0.078124,0.140493,0.372554,-0.11170699999999999,0.136047,0.408377,-0.048757,0.134534,0.46898100000000004,0.5210881157692795,0.07221397542650378,0.007307947398634256,0.8504110248943985,0.15502838260069568,-0.07258375981199156,1.340674393995559,-0.186656,-0.040054,1.064892,-0.15146300000000001,-0.051766999999999994,0.994668,-0.128357,-0.051686,1.046338,-0.128327,-0.047136000000000004,1.096767,129.90524377660375
