Format Version,1.22,Take Name,stickleft_calib_2020-05-26,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,17 Jan 1970 00:09:07 +0900,Total Frames in Take,1337,Total Exported Frames,1337,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left:Marker1,stick_left:Marker1,stick_left:Marker1,stick_right:Marker1,stick_right:Marker1,stick_right:Marker1,stick_left:Marker2,stick_left:Marker2,stick_left:Marker2,stick_right:Marker2,stick_right:Marker2,stick_right:Marker2,stick_left:Marker3,stick_left:Marker3,stick_left:Marker3,stick_left:Marker4,stick_left:Marker4,stick_left:Marker4,stick_right:Marker4,stick_right:Marker4,stick_right:Marker4,Unlabeled 1021,Unlabeled 1021,Unlabeled 1021,Unlabeled 1022,Unlabeled 1022,Unlabeled 1022,Unlabeled 1025,Unlabeled 1025,Unlabeled 1025,Unlabeled 1026,Unlabeled 1026,Unlabeled 1026,Unlabeled 1028,Unlabeled 1028,Unlabeled 1028,Unlabeled 1029,Unlabeled 1029,Unlabeled 1029,Unlabeled 1030,Unlabeled 1030,Unlabeled 1030,Unlabeled 1032,Unlabeled 1032,Unlabeled 1032
,,"554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","C35D0","C35D0","C35D0","C3640","C3640","C3640","C35F0","C35F0","C35F0","C3700","C3700","C3700","C36A0","C36A0","C36A0","C3680","C3680","C3680","C35B0","C35B0","C35B0","C3650","C3650","C3650","C3670","C3670","C3670","C36D0","C36D0","C36D0","C36E0","C36E0","C36E0","C3620","C3620","C3620","C3660","C3660","C3660","C36F0","C36F0","C36F0","C3710","C3710","C3710"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.675062,0.702677,0.144204,0.172458,0.002130,-0.092698,0.033475,0.017716,-0.081248,0.069987,,,,-0.053914,-0.091484,0.037365,,,,-0.003026,-0.099127,0.013762,0.047746,-0.098934,0.012785,,,,0.562534,-0.457988,0.055128,0.514111,-0.438389,0.009764,,,,,,,,,,,,,,,,,,
1,0.008333,0.675151,0.702675,0.144011,0.172279,0.002124,-0.092707,0.033470,0.017733,-0.081260,0.069972,,,,-0.053914,-0.091487,0.037388,,,,-0.003046,-0.099134,0.013759,0.047723,-0.098950,0.012759,,,,0.562535,-0.457984,0.055130,0.514115,-0.438400,0.009761,,,,,,,,,,,,,,,,,,
2,0.016667,0.675318,0.702628,0.143667,0.172105,0.002118,-0.092708,0.033471,0.017758,-0.081261,0.069967,,,,-0.053916,-0.091456,0.037432,,,,-0.003066,-0.099157,0.013759,0.047694,-0.098959,0.012727,,,,0.562525,-0.457980,0.055141,0.514111,-0.438392,0.009767,,,,,,,,,,,,,,,,,,
3,0.025000,,,,,,,,0.017798,-0.081261,0.069957,,,,-0.053931,-0.091386,0.037537,,,,-0.003111,-0.099128,0.013786,0.047644,-0.098970,0.012681,,,,0.562530,-0.457985,0.055139,0.514107,-0.438383,0.009768,,,,,,,,,,,,,,,,,,
4,0.033333,,,,,,,,0.017844,-0.081252,0.069946,,,,-0.053934,-0.091339,0.037623,,,,-0.003146,-0.099121,0.013797,0.047603,-0.098989,0.012623,,,,0.562524,-0.457976,0.055140,0.514109,-0.438390,0.009764,,,,,,,,,,,,,,,,,,
5,0.041667,0.676146,0.702383,0.142318,0.170968,0.002094,-0.092675,0.033494,0.017874,-0.081257,0.069933,,,,-0.053928,-0.091322,0.037664,,,,-0.003157,-0.099130,0.013795,0.047586,-0.098994,0.012583,,,,0.562533,-0.457973,0.055144,0.514094,-0.438380,0.009767,,,,,,,,,,,,,,,,,,
6,0.050000,0.676228,0.702432,0.141958,0.170744,0.002093,-0.092664,0.033495,0.017906,-0.081243,0.069919,,,,-0.053926,-0.091295,0.037715,,,,-0.003172,-0.099136,0.013795,0.047564,-0.098981,0.012551,,,,0.562524,-0.457974,0.055143,0.514116,-0.438397,0.009758,,,,,,,,,,,,,,,,,,
7,0.058333,0.676414,0.702332,0.141715,0.170620,0.002093,-0.092658,0.033498,0.017929,-0.081241,0.069912,,,,-0.053930,-0.091265,0.037746,,,,-0.003185,-0.099126,0.013807,0.047557,-0.099000,0.012525,,,,0.562534,-0.457985,0.055135,0.514104,-0.438384,0.009766,,,,,,,,,,,,,,,,,,
8,0.066667,0.676286,0.702357,0.141900,0.170870,0.002097,-0.092661,0.033503,0.017902,-0.081234,0.069925,,,,-0.053926,-0.091286,0.037716,,,,-0.003170,-0.099120,0.013814,0.047580,-0.099006,0.012558,,,,0.562544,-0.458000,0.055125,0.514104,-0.438383,0.009769,,,,,,,,,,,,,,,,,,
9,0.075000,0.676075,0.702496,0.141975,0.171069,0.002102,-0.092675,0.033504,0.017892,-0.081229,0.069934,,,,-0.053920,-0.091327,0.037691,,,,-0.003157,-0.099140,0.013812,0.047593,-0.099006,0.012578,,,,0.562537,-0.457997,0.055127,0.514118,-0.438402,0.009758,,,,,,,,,,,,,,,,,,
10,0.083333,0.676045,0.702497,0.142066,0.171108,0.002102,-0.092668,0.033513,0.017882,-0.081223,0.069948,,,,-0.053918,-0.091323,0.037692,,,,-0.003150,-0.099134,0.013817,0.047592,-0.098994,0.012596,,,,0.562534,-0.457996,0.055127,0.514111,-0.438386,0.009759,,,,,,,,,,,,,,,,,,
11,0.091667,0.676104,0.702422,0.142138,0.171128,0.002098,-0.092651,0.033529,0.017877,-0.081217,0.069963,,,,-0.053929,-0.091292,0.037700,,,,-0.003151,-0.099122,0.013835,0.047592,-0.098976,0.012618,,,,0.562535,-0.457976,0.055126,0.514117,-0.438387,0.009757,,,,,,,,,,,,,,,,,,
12,0.100000,0.676077,0.702462,0.142104,0.171095,0.002096,-0.092641,0.033549,0.017880,-0.081205,0.069976,,,,-0.053928,-0.091290,0.037723,,,,-0.003157,-0.099108,0.013861,0.047588,-0.098964,0.012636,,,,0.562547,-0.457993,0.055120,0.514112,-0.438392,0.009757,,,,,,,,,,,,,,,,,,
13,0.108333,0.676026,0.702549,0.141857,0.171145,0.002106,-0.092650,0.033563,0.017900,-0.081193,0.069987,,,,-0.053914,-0.091302,0.037753,,,,-0.003149,-0.099127,0.013871,0.047586,-0.098979,0.012641,,,,0.562545,-0.457993,0.055126,0.514119,-0.438410,0.009760,,,,,,,,,,,,,,,,,,
14,0.116667,0.676087,0.702508,0.141736,0.171172,0.002110,-0.092653,0.033577,0.017909,-0.081191,0.069998,,,,-0.053913,-0.091298,0.037774,,,,-0.003154,-0.099125,0.013888,0.047596,-0.099000,0.012646,,,,0.562530,-0.457983,0.055138,0.514121,-0.438401,0.009762,,,,,,,,,,,,,,,,,,
15,0.125000,0.676134,0.702523,0.141579,0.171057,0.002106,-0.092636,0.033590,0.017923,-0.081177,0.070005,,,,-0.053918,-0.091267,0.037807,,,,-0.003160,-0.099127,0.013905,0.047575,-0.098975,0.012642,,,,0.562535,-0.457995,0.055125,0.514129,-0.438421,0.009750,,,,,,,,,,,,,,,,,,
16,0.133333,0.676280,0.702521,0.141207,0.170794,0.002110,-0.092627,0.033606,0.017962,-0.081165,0.070006,,,,-0.053910,-0.091249,0.037875,,,,-0.003177,-0.099106,0.013930,0.047564,-0.098989,0.012615,,,,0.562544,-0.457995,0.055124,0.514122,-0.438405,0.009753,,,,,,,,,,,,,,,,,,
17,0.141667,0.676343,0.702628,0.140611,0.170597,0.002119,-0.092640,0.033614,0.018012,-0.081154,0.069999,,,,-0.053891,-0.091260,0.037942,,,,-0.003193,-0.099123,0.013948,0.047547,-0.099025,0.012567,,,,0.562545,-0.458012,0.055116,0.514124,-0.438414,0.009753,,,,,,,,,,,,,,,,,,
18,0.150000,0.676511,0.702712,0.139937,0.170141,0.002122,-0.092645,0.033625,0.018083,-0.081149,0.069982,,,,-0.053870,-0.091257,0.038037,,,,-0.003233,-0.099126,0.013971,0.047505,-0.099049,0.012509,,,,0.562545,-0.458002,0.055127,0.514125,-0.438413,0.009744,,,,,,,,,,,,,,,,,,
19,0.158333,0.676747,0.702730,0.139425,0.169542,0.002115,-0.092631,0.033638,0.018145,-0.081148,0.069965,,,,-0.053865,-0.091229,0.038137,,,,-0.003276,-0.099102,0.013991,0.047456,-0.099046,0.012457,,,,0.562553,-0.457998,0.055125,0.514126,-0.438404,0.009752,,,,,,,,,,,,,,,,,,
20,0.166667,0.676930,0.702770,0.138682,0.169258,0.002123,-0.092636,0.033644,0.018211,-0.081136,0.069945,,,,-0.053852,-0.091210,0.038223,,,,-0.003296,-0.099119,0.014011,0.047427,-0.099081,0.012398,,,,0.562529,-0.457975,0.055128,0.514126,-0.438394,0.009756,,,,,,,,,,,,,,,,,,
21,0.175000,0.677147,0.702729,0.138313,0.168861,0.002124,-0.092632,0.033648,0.018256,-0.081141,0.069928,,,,-0.053837,-0.091191,0.038287,,,,-0.003327,-0.099101,0.014023,0.047401,-0.099097,0.012355,,,,0.562539,-0.457989,0.055117,0.514121,-0.438402,0.009753,,,,,,,,,,,,,,,,,,
22,0.183333,0.677173,0.702793,0.138055,0.168702,0.002123,-0.092636,0.033657,0.018276,-0.081142,0.069924,,,,-0.053833,-0.091189,0.038331,,,,-0.003338,-0.099118,0.014032,0.047385,-0.099097,0.012342,,,,0.562536,-0.457979,0.055127,0.514136,-0.438418,0.009752,,,,,,,,,,,,,,,,,,
