Format Version,1.22,Take Name,Calibration_diabolo_green_2020-06-18,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,21 Dec 1969 01:58:15 +0900,Total Frames in Take,223,Total Exported Frames,223,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,diabolo_green,diabolo_green,diabolo_green,diabolo_green,diabolo_green,diabolo_green,diabolo_green
,,"1F974DF8B12211EAC8808BD7B5C0B181","1F974DF8B12211EAC8808BD7B5C0B181","1F974DF8B12211EAC8808BD7B5C0B181","1F974DF8B12211EAC8808BD7B5C0B181","1F974DF8B12211EAC8808BD7B5C0B181","1F974DF8B12211EAC8808BD7B5C0B181","1F974DF8B12211EAC8808BD7B5C0B181"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.022475,0.904739,0.055365,-0.421753,-0.007910,0.045965,0.042989
1,0.008333,0.022345,0.904748,0.055340,-0.421746,-0.007914,0.045970,0.042990
2,0.016667,0.022581,0.904731,0.055607,-0.421735,-0.007915,0.045973,0.042986
3,0.025000,0.022510,0.904741,0.055444,-0.421738,-0.007917,0.045978,0.042991
4,0.033333,0.022435,0.904709,0.055543,-0.421799,-0.007913,0.045971,0.042989
5,0.041667,0.022399,0.904753,0.055409,-0.421722,-0.007912,0.045977,0.042988
6,0.050000,,,,,,,
7,0.058333,0.022476,0.904759,0.055401,-0.421706,-0.007914,0.045959,0.042991
8,0.066667,0.022415,0.904741,0.055336,-0.421758,-0.007907,0.045960,0.042990
9,0.075000,0.022419,0.904735,0.055449,-0.421755,-0.007906,0.045967,0.042984
10,0.083333,0.022400,0.904734,0.055429,-0.421760,-0.007911,0.045966,0.042986
11,0.091667,0.022410,0.904745,0.055708,-0.421699,-0.007913,0.045965,0.042990
12,0.100000,0.022443,0.904732,0.055531,-0.421749,-0.007911,0.045964,0.042993
