Format Version,1.22,Take Name,Take 2020-06-18 diabolo_red_random_felix_3,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,21 Dec 1969 04:27:00 +0900,Total Frames in Take,281546,Total Exported Frames,460,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker
,,stick_right,stick_right,stick_right,stick_right,stick_right,stick_right,stick_right,"stick_right:Marker1","stick_right:Marker1","stick_right:Marker1","stick_right:Marker2","stick_right:Marker2","stick_right:Marker2","stick_right:Marker3","stick_right:Marker3","stick_right:Marker3","stick_right:Marker4","stick_right:Marker4","stick_right:Marker4",diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,"diabolo_red:Marker1","diabolo_red:Marker1","diabolo_red:Marker1","diabolo_red:Marker2","diabolo_red:Marker2","diabolo_red:Marker2","diabolo_red:Marker3","diabolo_red:Marker3","diabolo_red:Marker3",stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,"stick_left:Marker1","stick_left:Marker1","stick_left:Marker1","stick_left:Marker2","stick_left:Marker2","stick_left:Marker2","stick_left:Marker3","stick_left:Marker3","stick_left:Marker3","stick_left:Marker4","stick_left:Marker4","stick_left:Marker4"
,,"F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
65106,542.550000,-0.740065,-0.471308,-0.460869,-0.133314,-0.038532,0.061689,1.221018,-0.057890,0.063615,1.223252,-0.069601,0.080218,1.194946,-0.002276,0.065074,1.201655,-0.024363,0.037849,1.264219,0.620091,0.688695,-0.245185,-0.284728,-0.103020,0.261062,0.525142,-0.067007,0.265920,0.499908,-0.115925,0.262864,0.494567,-0.126128,0.254403,0.580951,0.390191,0.320937,0.726976,0.465033,-0.116284,0.028322,1.198210,-0.154397,0.023135,1.213086,-0.120481,0.045456,1.144832,-0.095736,0.029893,1.193301,-0.094523,0.014805,1.241619
65107,542.558333,-0.739107,-0.465338,-0.466425,-0.140106,-0.038645,0.061852,1.221080,-0.058011,0.064023,1.222984,-0.069025,0.080783,1.194491,-0.002022,0.064783,1.202342,-0.025520,0.037821,1.264504,0.683424,0.712839,0.135071,0.080918,-0.088339,0.260550,0.527599,-0.048788,0.261393,0.547405,-0.067526,0.263428,0.501847,-0.148703,0.256829,0.533544,0.390608,0.322050,0.727264,0.463461,-0.116399,0.028984,1.198992,-0.154459,0.023674,1.213960,-0.120779,0.046114,1.145628,-0.095868,0.030621,1.194033,-0.094491,0.015528,1.242345
65108,542.566667,-0.737090,-0.459573,-0.473373,-0.146319,-0.038572,0.061832,1.221219,-0.057949,0.064202,1.222749,-0.068227,0.081134,1.194083,-0.001562,0.064414,1.203206,-0.026552,0.037577,1.264838,0.553179,0.535762,0.477407,0.423124,-0.083595,0.258334,0.542266,-0.082114,0.255194,0.586371,-0.050927,0.258842,0.548360,-0.117744,0.260965,0.492068,0.390652,0.323593,0.727239,0.462387,-0.116673,0.029775,1.199149,-0.154685,0.024382,1.214209,-0.121217,0.046819,1.145772,-0.096157,0.031461,1.194143,-0.094632,0.016438,1.242473
65109,542.575000,,,,,,,,,,,,,,,,,,,,0.267090,0.207121,0.682997,0.647517,-0.094366,0.255661,0.554014,-0.132549,0.252913,0.576191,-0.084134,0.252781,0.585504,-0.066414,0.261288,0.500348,0.387350,0.326045,0.727802,0.462558,-0.117138,0.030577,1.199047,-0.155173,0.025116,1.214024,-0.121590,0.047260,1.145548,-0.096614,0.032320,1.194094,-0.095174,0.017613,1.242523
65110,542.583333,,,,,,,,,,,,,,,,,,,,-0.093394,-0.179480,0.696817,0.688122,-0.109939,0.254312,0.550765,-0.147789,0.255774,0.527906,-0.132813,0.250672,0.574601,-0.049216,0.256490,0.549789,0.383123,0.326829,0.729367,0.463059,-0.117682,0.031422,1.198718,-0.155798,0.025871,1.213454,-0.121829,0.047851,1.145116,-0.097131,0.033226,1.193900,-0.095970,0.018739,1.242403
65111,542.591667,,,,,,,,,,,,,,,,,,,,-0.428232,-0.515188,0.514050,0.535678,-0.114587,0.254351,0.536287,-0.112543,0.259540,0.492399,-0.146625,0.253410,0.527494,-0.084594,0.250103,0.588969,0.379972,0.327072,0.728797,0.466368,-0.118176,0.031984,1.198044,-0.156399,0.026642,1.212581,-0.121945,0.048093,1.144317,-0.097591,0.033695,1.193340,-0.096770,0.019505,1.241938
