Format Version,1.22,Take Name,Take 2020-07-16 diabolo_red_recalib,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,18 Jan 1970 07:51:11 +0900,Total Frames in Take,1626,Total Exported Frames,1626,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red:Marker1,diabolo_red:Marker1,diabolo_red:Marker1,diabolo_red:Marker2,diabolo_red:Marker2,diabolo_red:Marker2,diabolo_red:Marker3,diabolo_red:Marker3,diabolo_red:Marker3,tracker:Unlabeled 1031,tracker:Unlabeled 1031,tracker:Unlabeled 1031,tracker:tracking_marker_0,tracker:tracking_marker_0,tracker:tracking_marker_0
,,"803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","562CCB4BC75A11EAC8808BD7B5C0B781","562CCB4BC75A11EAC8808BD7B5C0B781","562CCB4BC75A11EAC8808BD7B5C0B781","562CCB4CC75A11EAC8808BD7B5C0B781","562CCB4CC75A11EAC8808BD7B5C0B781","562CCB4CC75A11EAC8808BD7B5C0B781","C6B60","C6B60","C6B60","39B8B0B1C75A11EAC8808BD7B5C0B781","39B8B0B1C75A11EAC8808BD7B5C0B781","39B8B0B1C75A11EAC8808BD7B5C0B781","D86B6AD5C75C11EAC8808BD7B5C0B781","D86B6AD5C75C11EAC8808BD7B5C0B781","D86B6AD5C75C11EAC8808BD7B5C0B781"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.954566,0.039241,-0.010357,-0.295224,-0.005961,0.006754,0.047352,-0.002520,-0.033236,0.028543,-0.006491,0.014445,0.014724,-0.008873,0.039059,0.098780,,,,,,
1,0.008333,0.954601,0.039258,-0.010380,-0.295106,-0.005962,0.006766,0.047349,-0.002520,-0.033227,0.028554,-0.006493,0.014451,0.014718,-0.008874,0.039082,0.098768,,,,,,
2,0.016667,0.954640,0.039217,-0.010360,-0.294987,-0.005964,0.006779,0.047347,-0.002525,-0.033219,0.028559,-0.006493,0.014452,0.014717,-0.008874,0.039109,0.098758,,,,,,
3,0.025000,0.954698,0.039228,-0.010386,-0.294796,-0.005962,0.006796,0.047344,-0.002522,-0.033213,0.028571,-0.006492,0.014459,0.014714,-0.008872,0.039147,0.098741,,,,,,
4,0.033333,0.954751,0.039226,-0.010448,-0.294624,-0.005959,0.006815,0.047339,-0.002519,-0.033203,0.028578,-0.006493,0.014467,0.014706,-0.008864,0.039187,0.098726,,,,,,
5,0.041667,0.954809,0.039200,-0.010464,-0.294437,-0.005962,0.006833,0.047335,-0.002525,-0.033192,0.028587,-0.006497,0.014469,0.014702,-0.008865,0.039226,0.098708,,,,,,
6,0.050000,0.954860,0.039165,-0.010421,-0.294280,-0.005964,0.006847,0.047332,-0.002529,-0.033187,0.028597,-0.006496,0.014476,0.014700,-0.008868,0.039258,0.098693,,,,,,
7,0.058333,0.954902,0.039164,-0.010477,-0.294140,-0.005961,0.006860,0.047329,-0.002526,-0.033179,0.028605,-0.006496,0.014479,0.014696,-0.008861,0.039286,0.098679,,,,,,
8,0.066667,0.954941,0.039114,-0.010446,-0.294021,-0.005959,0.006871,0.047330,-0.002528,-0.033174,0.028617,-0.006492,0.014483,0.014696,-0.008857,0.039309,0.098670,,,,,,
9,0.075000,0.954970,0.039121,-0.010454,-0.293925,-0.005960,0.006880,0.047328,-0.002528,-0.033169,0.028622,-0.006494,0.014487,0.014695,-0.008859,0.039329,0.098660,,,,,,
10,0.083333,0.955001,0.039118,-0.010510,-0.293825,-0.005960,0.006890,0.047324,-0.002529,-0.033167,0.028625,-0.006497,0.014491,0.014691,-0.008854,0.039351,0.098650,,,,,,
11,0.091667,0.955040,0.039095,-0.010504,-0.293701,-0.005961,0.006902,0.047321,-0.002531,-0.033158,0.028632,-0.006497,0.014494,0.014689,-0.008854,0.039376,0.098637,,,,,,
12,0.100000,0.955078,0.039095,-0.010534,-0.293575,-0.005960,0.006913,0.047320,-0.002530,-0.033154,0.028641,-0.006498,0.014497,0.014683,-0.008851,0.039401,0.098629,,,,,,
13,0.108333,0.955109,0.039087,-0.010509,-0.293476,-0.005960,0.006923,0.047320,-0.002531,-0.033148,0.028650,-0.006497,0.014502,0.014684,-0.008854,0.039422,0.098620,,,,,,
14,0.116667,0.955139,0.039074,-0.010500,-0.293382,-0.005962,0.006934,0.047319,-0.002534,-0.033141,0.028655,-0.006497,0.014504,0.014683,-0.008855,0.039443,0.098614,,,,,,
15,0.125000,0.955178,0.039097,-0.010500,-0.293251,-0.005959,0.006947,0.047322,-0.002529,-0.033130,0.028671,-0.006494,0.014508,0.014681,-0.008854,0.039470,0.098608,,,,,,
16,0.133333,0.955219,0.039088,-0.010472,-0.293119,-0.005961,0.006960,0.047323,-0.002531,-0.033123,0.028684,-0.006494,0.014513,0.014680,-0.008859,0.039496,0.098599,,,,,,
17,0.141667,0.955277,0.039064,-0.010497,-0.292933,-0.005960,0.006977,0.047324,-0.002532,-0.033112,0.028701,-0.006494,0.014517,0.014677,-0.008854,0.039534,0.098588,,,,,,
