Format Version,1.22,Take Name,Take 2020-07-16 stick_left_downward_calib,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,18 Jan 1970 09:19:35 +0900,Total Frames in Take,3068,Total Exported Frames,2372,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left
,,"554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.643419,-0.452057,0.454460,-0.418477,-0.003183,0.007466,0.104421
1,0.008333,-0.643234,-0.452146,0.454630,-0.418480,-0.003159,0.007471,0.104417
2,0.016667,-0.645946,-0.452077,0.450755,-0.418569,-0.003206,0.007411,0.104516
3,0.025000,-0.645767,-0.452214,0.450788,-0.418663,-0.003170,0.007438,0.104517
4,0.033333,-0.645741,-0.451953,0.451319,-0.418412,-0.003170,0.007436,0.104509
5,0.041667,-0.645761,-0.451855,0.451448,-0.418346,-0.003145,0.007451,0.104511
6,0.050000,-0.642691,-0.452245,0.455296,-0.418484,-0.003013,0.007577,0.104418
7,0.058333,-0.642728,-0.451994,0.455700,-0.418258,-0.002997,0.007581,0.104416
8,0.066667,-0.640274,-0.452469,0.457788,-0.419226,-0.003059,0.007572,0.104294
9,0.075000,-0.643078,-0.452403,0.453777,-0.419368,-0.003088,0.007533,0.104399
10,0.083333,-0.642965,-0.452512,0.453759,-0.419442,-0.003055,0.007566,0.104403
11,0.091667,-0.643049,-0.452354,0.453944,-0.419284,-0.003039,0.007563,0.104405
12,0.100000,-0.642951,-0.452439,0.453968,-0.419316,-0.003019,0.007576,0.104404
13,0.108333,,,,,,,
14,0.116667,,,,,,,
15,0.125000,-0.642399,-0.453057,0.453706,-0.419779,-0.002963,0.007615,0.104409
16,0.133333,-0.642135,-0.453351,0.453566,-0.420015,-0.002937,0.007640,0.104412
17,0.141667,-0.642026,-0.453380,0.453638,-0.420073,-0.002930,0.007654,0.104411
18,0.150000,-0.641854,-0.453398,0.453811,-0.420130,-0.002917,0.007674,0.104409
19,0.158333,-0.641551,-0.453668,0.453713,-0.420408,-0.002881,0.007722,0.104412
20,0.166667,-0.641407,-0.453741,0.453736,-0.420523,-0.002863,0.007757,0.104414
21,0.175000,-0.641195,-0.453717,0.454006,-0.420580,-0.002846,0.007783,0.104411
22,0.183333,-0.641145,-0.453640,0.454157,-0.420577,-0.002833,0.007802,0.104411
23,0.191667,-0.640947,-0.453727,0.454242,-0.420694,-0.002812,0.007831,0.104410
24,0.200000,-0.640828,-0.453813,0.454210,-0.420817,-0.002800,0.007851,0.104411
25,0.208333,-0.640786,-0.453784,0.454319,-0.420793,-0.002807,0.007848,0.104409
26,0.216667,-0.640729,-0.453833,0.454309,-0.420839,-0.002817,0.007844,0.104407
27,0.225000,-0.640571,-0.454153,0.453938,-0.421134,-0.002810,0.007862,0.104412
28,0.233333,-0.640420,-0.454335,0.453854,-0.421259,-0.002823,0.007845,0.104405
29,0.241667,-0.640373,-0.454514,0.453626,-0.421383,-0.002842,0.007824,0.104404
30,0.250000,-0.640333,-0.454712,0.453355,-0.421521,-0.002861,0.007810,0.104405
31,0.258333,-0.642617,-0.454223,0.451552,-0.420507,-0.002800,0.007812,0.104516
32,0.266667,-0.642926,-0.454004,0.451504,-0.420322,-0.002852,0.007767,0.104514
33,0.275000,-0.643213,-0.453915,0.451254,-0.420248,-0.002893,0.007730,0.104518
34,0.283333,-0.643426,-0.453910,0.450924,-0.420282,-0.002924,0.007707,0.104522
35,0.291667,-0.643711,-0.453661,0.450941,-0.420096,-0.002970,0.007676,0.104518
36,0.300000,-0.643983,-0.453351,0.451032,-0.419916,-0.003009,0.007649,0.104514
37,0.308333,-0.644221,-0.453075,0.451114,-0.419760,-0.003056,0.007625,0.104509
38,0.316667,-0.641419,-0.453357,0.454677,-0.419903,-0.003008,0.007707,0.104414
39,0.325000,,,,,,,
40,0.333333,,,,,,,
41,0.341667,,,,,,,
42,0.350000,-0.644406,-0.453239,0.450154,-0.420328,-0.003211,0.007605,0.104511
43,0.358333,,,,,,,
44,0.366667,-0.644450,-0.453286,0.449886,-0.420498,-0.003280,0.007583,0.104507
45,0.375000,-0.644596,-0.453203,0.449783,-0.420475,-0.003322,0.007558,0.104508
46,0.383333,-0.644829,-0.452975,0.449823,-0.420321,-0.003371,0.007521,0.104504
47,0.391667,-0.644848,-0.453099,0.449526,-0.420474,-0.003388,0.007515,0.104507
48,0.400000,-0.639792,-0.453934,0.454826,-0.421596,-0.003427,0.007561,0.104297
49,0.408333,-0.642690,-0.453667,0.450962,-0.421627,-0.003531,0.007468,0.104390
50,0.416667,-0.642473,-0.452907,0.453275,-0.420294,-0.003418,0.007533,0.104405
51,0.425000,-0.640305,-0.453436,0.454798,-0.421384,-0.003518,0.007508,0.104292
52,0.433333,-0.642647,-0.452813,0.453077,-0.420341,-0.003454,0.007526,0.104403
53,0.441667,-0.642977,-0.452556,0.453038,-0.420154,-0.003489,0.007499,0.104404
54,0.450000,,,,,,,
55,0.458333,,,,,,,
56,0.466667,-0.643450,-0.452224,0.452878,-0.419961,-0.003582,0.007431,0.104400
57,0.475000,,,,,,,
58,0.483333,-0.641156,-0.452768,0.454557,-0.421068,-0.003720,0.007381,0.104275
59,0.491667,-0.641026,-0.453111,0.454103,-0.421386,-0.003703,0.007407,0.104282
60,0.500000,-0.640972,-0.453149,0.454118,-0.421412,-0.003708,0.007401,0.104279
61,0.508333,,,,,,,
62,0.516667,,,,,,,
63,0.525000,,,,,,,
64,0.533333,,,,,,,
65,0.541667,,,,,,,
66,0.550000,,,,,,,
67,0.558333,,,,,,,
68,0.566667,,,,,,,
69,0.575000,-0.641384,-0.452751,0.454548,-0.420749,-0.003698,0.007333,0.104277
70,0.583333,,,,,,,
71,0.591667,,,,,,,
72,0.600000,,,,,,,
73,0.608333,,,,,,,
74,0.616667,-0.643995,-0.453069,0.450371,-0.420909,-0.003681,0.007277,0.104388
75,0.625000,,,,,,,
76,0.633333,-0.643771,-0.453210,0.450606,-0.420849,-0.003635,0.007288,0.104386
77,0.641667,,,,,,,
78,0.650000,-0.643633,-0.453295,0.450800,-0.420760,-0.003570,0.007308,0.104389
79,0.658333,-0.643550,-0.453358,0.450890,-0.420724,-0.003529,0.007320,0.104393
80,0.666667,-0.643370,-0.453467,0.451044,-0.420716,-0.003480,0.007340,0.104391
81,0.675000,-0.643256,-0.453452,0.451324,-0.420605,-0.003437,0.007355,0.104391
82,0.683333,-0.642485,-0.453093,0.453818,-0.419486,-0.003222,0.007475,0.104407
83,0.691667,-0.642410,-0.453074,0.454057,-0.419363,-0.003170,0.007500,0.104409
84,0.700000,-0.645263,-0.452698,0.450546,-0.419177,-0.003218,0.007423,0.104505
85,0.708333,-0.645103,-0.452889,0.450521,-0.419243,-0.003170,0.007442,0.104507
86,0.716667,-0.642122,-0.453369,0.454176,-0.419356,-0.003046,0.007540,0.104419
87,0.725000,-0.641766,-0.453575,0.454427,-0.419407,-0.003001,0.007558,0.104414
88,0.733333,-0.641701,-0.453631,0.454489,-0.419378,-0.002968,0.007570,0.104417
89,0.741667,-0.641562,-0.453612,0.454789,-0.419286,-0.002938,0.007577,0.104413
90,0.750000,-0.641453,-0.453662,0.454902,-0.419276,-0.002899,0.007594,0.104413
91,0.758333,-0.644026,-0.453578,0.451297,-0.419319,-0.002933,0.007548,0.104506
92,0.766667,-0.644215,-0.453438,0.451325,-0.419150,-0.002920,0.007549,0.104511
93,0.775000,-0.644224,-0.453347,0.451517,-0.419028,-0.002895,0.007546,0.104510
94,0.783333,-0.644278,-0.453220,0.451741,-0.418841,-0.002885,0.007540,0.104508
95,0.791667,-0.644294,-0.453304,0.451651,-0.418822,-0.002857,0.007546,0.104510
96,0.800000,-0.644488,-0.453044,0.451917,-0.418518,-0.002866,0.007512,0.104506
97,0.808333,-0.644532,-0.452940,0.452140,-0.418322,-0.002866,0.007489,0.104500
98,0.816667,-0.641742,-0.453387,0.455573,-0.418402,-0.002763,0.007567,0.104413
99,0.825000,,,,,,,
100,0.833333,-0.641595,-0.453536,0.455741,-0.418284,-0.002730,0.007546,0.104410
101,0.841667,-0.641461,-0.453831,0.455506,-0.418425,-0.002689,0.007559,0.104415
