Format Version,1.22,Take Name,Take 2020-07-16 stick_left_recalib,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,18 Jan 1970 07:52:32 +0900,Total Frames in Take,3674,Total Exported Frames,2876,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left:Marker1,stick_left:Marker1,stick_left:Marker1,stick_left:Marker2,stick_left:Marker2,stick_left:Marker2,stick_left:Marker3,stick_left:Marker3,stick_left:Marker3,stick_left:Marker4,stick_left:Marker4,stick_left:Marker4,tracker:tracking_marker_0,tracker:tracking_marker_0,tracker:tracking_marker_0
,,"554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","C6C90","C6C90","C6C90","C6C40","C6C40","C6C40","C6CA0","C6CA0","C6CA0","C6C60","C6C60","C6C60","97B71144C75E11EAC8808BD7B5C0B781","97B71144C75E11EAC8808BD7B5C0B781","97B71144C75E11EAC8808BD7B5C0B781"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
262,2.183333,-0.883659,0.018519,-0.197993,-0.423796,-0.008121,0.003383,0.045497,-0.014547,0.004921,0.086325,-0.005261,0.056148,0.026108,-0.005110,-0.000559,0.024652,-0.007580,-0.047003,0.044912,0.106364,0.004137,0.063682
263,2.191667,-0.883488,0.018805,-0.198238,-0.424024,-0.008170,0.003295,0.045548,-0.014625,0.004853,0.086371,-0.005275,0.056049,0.026137,-0.005144,-0.000661,0.024708,-0.007650,-0.047089,0.044988,0.106306,0.004024,0.063805
264,2.200000,-0.883300,0.019084,-0.198465,-0.424298,-0.008230,0.003201,0.045616,-0.014713,0.004784,0.086434,-0.005301,0.055947,0.026179,-0.005190,-0.000769,0.024783,-0.007732,-0.047186,0.045086,0.106230,0.003886,0.063953
265,2.208333,-0.883161,0.019398,-0.198663,-0.424480,-0.008307,0.003097,0.045703,-0.014819,0.004696,0.086519,-0.005342,0.055833,0.026251,-0.005258,-0.000882,0.024878,-0.007833,-0.047292,0.045186,0.106138,0.003723,0.064125
266,2.216667,-0.883085,0.019804,-0.198859,-0.424528,-0.008403,0.002986,0.045802,-0.014946,0.004588,0.086615,-0.005394,0.055720,0.026358,-0.005344,-0.000991,0.024974,-0.007959,-0.047405,0.045288,0.106028,0.003546,0.064315
267,2.225000,-0.883059,0.020272,-0.199036,-0.424476,-0.008518,0.002862,0.045919,-0.015091,0.004457,0.086731,-0.005460,0.055597,0.026492,-0.005449,-0.001109,0.025091,-0.008107,-0.047538,0.045393,0.105899,0.003341,0.064527
268,2.233333,-0.883047,0.020838,-0.199288,-0.424357,-0.008646,0.002721,0.046045,-0.015258,0.004305,0.086848,-0.005530,0.055461,0.026645,-0.005565,-0.001246,0.025223,-0.008271,-0.047679,0.045498,0.105762,0.003109,0.064752
269,2.241667,-0.883026,0.021442,-0.199537,-0.424253,-0.008782,0.002568,0.046178,-0.015432,0.004141,0.086976,-0.005604,0.055309,0.026804,-0.005686,-0.001392,0.025358,-0.008447,-0.047834,0.045613,0.105608,0.002842,0.064993
270,2.250000,-0.883028,0.022086,-0.199731,-0.424124,-0.008923,0.002399,0.046315,-0.015610,0.003955,0.087111,-0.005677,0.055149,0.026967,-0.005815,-0.001550,0.025491,-0.008634,-0.048011,0.045728,0.105450,0.002558,0.065252
271,2.258333,-0.883053,0.022832,-0.200007,-0.423903,-0.009069,0.002225,0.046454,-0.015800,0.003761,0.087241,-0.005750,0.054984,0.027149,-0.005939,-0.001714,0.025632,-0.008831,-0.048184,0.045831,0.105279,0.002263,0.065523
272,2.266667,-0.883086,0.023517,-0.200351,-0.423633,-0.009212,0.002052,0.046592,-0.015989,0.003560,0.087372,-0.005829,0.054824,0.027330,-0.006058,-0.001874,0.025775,-0.009014,-0.048354,0.045930,0.105114,0.001973,0.065798
273,2.275000,-0.883138,0.024228,-0.200704,-0.423319,-0.009354,0.001877,0.046729,-0.016181,0.003353,0.087506,-0.005903,0.054663,0.027517,-0.006178,-0.002030,0.025906,-0.009198,-0.048534,0.046026,0.104953,0.001685,0.066066
274,2.283333,-0.883171,0.024925,-0.200967,-0.423085,-0.009482,0.001705,0.046869,-0.016347,0.003165,0.087637,-0.005964,0.054500,0.027700,-0.006283,-0.002192,0.026053,-0.009371,-0.048703,0.046127,0.104806,0.001405,0.066325
275,2.291667,-0.883138,0.025560,-0.201214,-0.422997,-0.009601,0.001546,0.047008,-0.016505,0.002999,0.087772,-0.006019,0.054343,0.027858,-0.006382,-0.002350,0.026195,-0.009535,-0.048855,0.046244,0.104665,0.001147,0.066580
276,2.300000,-0.883040,0.026131,-0.201474,-0.423043,-0.009713,0.001397,0.047146,-0.016655,0.002852,0.087908,-0.006068,0.054195,0.028001,-0.006475,-0.002502,0.026333,-0.009687,-0.049004,0.046383,0.104532,0.000912,0.066828
277,2.308333,-0.882860,0.026755,-0.201730,-0.423257,-0.009821,0.001266,0.047273,-0.016803,0.002749,0.088028,-0.006110,0.054053,0.028111,-0.006556,-0.002649,0.026476,-0.009849,-0.049131,0.046512,0.104407,0.000710,0.067073
278,2.316667,-0.882527,0.027212,-0.202081,-0.423756,-0.009915,0.001148,0.047392,-0.016938,0.002679,0.088133,-0.006148,0.053912,0.028178,-0.006623,-0.002793,0.026610,-0.009981,-0.049242,0.046682,0.104292,0.000538,0.067298
279,2.325000,-0.882124,0.027567,-0.202249,-0.424490,-0.010007,0.001039,0.047490,-0.017057,0.002638,0.088225,-0.006182,0.053770,0.028195,-0.006704,-0.002935,0.026709,-0.010112,-0.049351,0.046856,0.104184,0.000363,0.067490
280,2.333333,-0.881617,0.027896,-0.202289,-0.425501,-0.010097,0.000932,0.047560,-0.017165,0.002626,0.088288,-0.006211,0.053618,0.028153,-0.006787,-0.003088,0.026784,-0.010253,-0.049463,0.047032,0.104085,0.000197,0.067626
281,2.341667,-0.881055,0.028176,-0.202221,-0.426679,-0.010183,0.000824,0.047600,-0.017260,0.002626,0.088321,-0.006235,0.053458,0.028061,-0.006873,-0.003254,0.026835,-0.010391,-0.049570,0.047192,0.103993,0.000026,0.067702
282,2.350000,-0.880488,0.028403,-0.202099,-0.427890,-0.010266,0.000712,0.047616,-0.017346,0.002624,0.088329,-0.006261,0.053292,0.027943,-0.006958,-0.003421,0.026860,-0.010525,-0.049683,0.047332,0.103910,-0.000155,0.067733
283,2.358333,-0.879938,0.028580,-0.201952,-0.429078,-0.010342,0.000608,0.047609,-0.017422,0.002629,0.088314,-0.006285,0.053136,0.027804,-0.007039,-0.003581,0.026864,-0.010646,-0.049786,0.047447,0.103833,-0.000325,0.067723
