Format Version,1.22,Take Name,Take 2020-07-16 stick_right_downward_calib,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,18 Jan 1970 09:24:14 +0900,Total Frames in Take,3417,Total Exported Frames,2180,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,stick_right,stick_right,stick_right,stick_right,stick_right,stick_right,stick_right
,,"F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
571,4.758333,0.136510,-0.697958,-0.202213,-0.673298,0.001042,0.000622,0.104502
572,4.766667,0.136157,-0.697963,-0.201955,-0.673442,0.001009,0.000594,0.104499
573,4.775000,0.136085,-0.697854,-0.201964,-0.673567,0.000992,0.000599,0.104505
574,4.783333,0.135956,-0.697815,-0.201821,-0.673675,0.000986,0.000602,0.104507
575,4.791667,0.135993,-0.698067,-0.201649,-0.673458,0.000982,0.000609,0.104496
576,4.800000,0.136041,-0.698449,-0.201435,-0.673116,0.000984,0.000624,0.104480
577,4.808333,0.136129,-0.698323,-0.201497,-0.673210,0.001003,0.000656,0.104486
578,4.816667,0.136319,-0.698575,-0.201445,-0.672926,0.001023,0.000684,0.104480
579,4.825000,0.136159,-0.696040,-0.202469,-0.675275,0.001069,0.000711,0.104604
580,4.833333,0.136553,-0.698079,-0.201696,-0.673318,0.001080,0.000747,0.104513
581,4.841667,0.136726,-0.698538,-0.201561,-0.672848,0.001100,0.000783,0.104499
582,4.850000,0.136889,-0.698425,-0.201658,-0.672903,0.001126,0.000819,0.104511
583,4.858333,0.136976,-0.698389,-0.201671,-0.672919,0.001148,0.000842,0.104520
584,4.866667,0.137030,-0.698191,-0.201717,-0.673099,0.001179,0.000875,0.104535
585,4.875000,0.137099,-0.697543,-0.202028,-0.673663,0.001211,0.000917,0.104569
586,4.883333,0.137184,-0.698013,-0.201771,-0.673236,0.001230,0.000943,0.104553
587,4.891667,0.137276,-0.698126,-0.201701,-0.673121,0.001250,0.000975,0.104548
588,4.900000,0.138250,-0.706387,-0.197053,-0.665638,0.001655,0.001093,0.104241
589,4.908333,0.136205,-0.695772,-0.202260,-0.675603,0.001299,0.001033,0.104637
590,4.916667,0.136890,-0.697670,-0.201513,-0.673729,0.001235,0.001020,0.104568
591,4.925000,0.136858,-0.698905,-0.200650,-0.672712,0.001218,0.001006,0.104522
592,4.933333,0.136710,-0.699018,-0.200391,-0.672702,0.001196,0.001022,0.104516
593,4.941667,0.136394,-0.699242,-0.199958,-0.672662,0.001162,0.001012,0.104504
594,4.950000,0.136046,-0.699078,-0.199679,-0.672986,0.001128,0.001004,0.104508
595,4.958333,0.135710,-0.699551,-0.199123,-0.672727,0.001088,0.000990,0.104479
596,4.966667,0.135349,-0.699438,-0.198821,-0.673006,0.001054,0.000979,0.104483
597,4.975000,0.135113,-0.698857,-0.198846,-0.673650,0.001037,0.000992,0.104508
598,4.983333,0.135992,-0.706928,-0.194322,-0.666331,0.001357,0.001085,0.104199
599,4.991667,0.134816,-0.700691,-0.197266,-0.672267,0.001063,0.001009,0.104440
600,5.000000,0.134561,-0.698744,-0.198175,-0.674075,0.000977,0.001024,0.104515
601,5.008333,0.134299,-0.699423,-0.197500,-0.673621,0.000950,0.001010,0.104485
602,5.016667,0.133815,-0.696726,-0.198299,-0.676272,0.000955,0.001024,0.104611
603,5.025000,0.133971,-0.699085,-0.197153,-0.674139,0.000925,0.001041,0.104500
604,5.033333,0.134045,-0.698643,-0.197309,-0.674536,0.000922,0.001083,0.104520
605,5.041667,0.133953,-0.699005,-0.196924,-0.674292,0.000906,0.001093,0.104504
606,5.050000,0.133958,-0.698894,-0.196890,-0.674416,0.000893,0.001113,0.104508
607,5.058333,0.133516,-0.696592,-0.197584,-0.676678,0.000889,0.001107,0.104616
608,5.066667,0.135548,-0.706353,-0.192736,-0.667492,0.001154,0.001197,0.104237
609,5.075000,0.134074,-0.700674,-0.195574,-0.672927,0.000893,0.001141,0.104438
610,5.083333,0.133575,-0.699343,-0.196136,-0.674246,0.000802,0.001117,0.104479
611,5.091667,0.133493,-0.698905,-0.196268,-0.674678,0.000779,0.001110,0.104496
612,5.100000,0.133389,-0.699231,-0.196048,-0.674425,0.000746,0.001090,0.104472
613,5.108333,0.133264,-0.699042,-0.196086,-0.674634,0.000711,0.001068,0.104472
614,5.116667,0.134122,-0.706681,-0.191938,-0.667662,0.001051,0.001142,0.104178
615,5.125000,0.132775,-0.698193,-0.195994,-0.675636,0.000717,0.001002,0.104511
616,5.133333,0.132386,-0.698142,-0.196114,-0.675730,0.000555,0.000923,0.104484
617,5.141667,0.132039,-0.698508,-0.195828,-0.675502,0.000480,0.000865,0.104451
618,5.150000,0.133123,-0.706007,-0.191637,-0.668662,0.000747,0.000881,0.104168
619,5.158333,0.131307,-0.699900,-0.194553,-0.674573,0.000394,0.000744,0.104370
620,5.166667,0.130309,-0.698272,-0.195019,-0.676316,0.000235,0.000650,0.104410
621,5.175000,0.129770,-0.697679,-0.195001,-0.677036,0.000161,0.000595,0.104422
622,5.183333,0.128873,-0.694578,-0.195893,-0.680131,0.000104,0.000528,0.104550
623,5.191667,0.128495,-0.696360,-0.194885,-0.678669,0.000012,0.000466,0.104449
624,5.200000,0.128146,-0.696459,-0.194656,-0.678699,-0.000061,0.000417,0.104430
625,5.208333,0.127524,-0.693789,-0.195454,-0.681316,-0.000106,0.000368,0.104544
626,5.216667,0.127299,-0.696290,-0.194151,-0.679176,-0.000189,0.000304,0.104418
627,5.225000,0.126843,-0.693423,-0.195205,-0.681887,-0.000214,0.000285,0.104540
628,5.233333,0.126713,-0.695521,-0.194171,-0.680068,-0.000276,0.000250,0.104431
629,5.241667,0.126550,-0.695617,-0.194031,-0.680040,-0.000314,0.000231,0.104419
630,5.250000,0.126453,-0.695484,-0.194031,-0.680194,-0.000336,0.000229,0.104420
631,5.258333,0.126368,-0.695650,-0.193887,-0.680081,-0.000350,0.000219,0.104413
632,5.266667,0.126290,-0.695896,-0.193674,-0.679904,-0.000352,0.000210,0.104404
633,5.275000,0.126314,-0.696202,-0.193520,-0.679630,-0.000339,0.000218,0.104394
634,5.283333,0.126342,-0.696173,-0.193540,-0.679649,-0.000313,0.000235,0.104402
635,5.291667,0.126466,-0.695735,-0.193831,-0.679992,-0.000270,0.000274,0.104427
636,5.300000,0.126545,-0.696303,-0.193587,-0.679465,-0.000230,0.000296,0.104409
637,5.308333,0.126610,-0.696626,-0.193451,-0.679161,-0.000187,0.000313,0.104404
638,5.316667,0.126735,-0.696729,-0.193493,-0.679019,-0.000142,0.000343,0.104406
639,5.325000,0.126805,-0.697026,-0.193385,-0.678733,-0.000100,0.000364,0.104402
640,5.333333,0.126671,-0.694023,-0.194671,-0.681461,-0.000030,0.000403,0.104551
641,5.341667,0.127023,-0.696697,-0.193663,-0.678950,0.000002,0.000426,0.104437
642,5.350000,0.127149,-0.697448,-0.193421,-0.678224,0.000042,0.000451,0.104413
643,5.358333,0.127190,-0.697671,-0.193350,-0.678007,0.000085,0.000474,0.104412
644,5.366667,0.127206,-0.697880,-0.193280,-0.677809,0.000126,0.000487,0.104412
